subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
102,1,1,2,2,3,3,4,4,5,5,6,6,7,7,7,8,8,9,9,9,10,10,10,12,,,,,,,,,,,,,,,
103,1,1,2,2,2,3,3,4,4,5,5,7,8,8,9,10,10,10,12,12,13,13,13,14,15,17,17,17,18,19,19,19,20,21,23,23,,,
104,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,12,12,13,13,14,14,15,15,16,17,17,18,18,19,,,,,
119,1,1,2,2,3,3,4,4,5,5,6,7,7,7,8,9,9,10,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,,,,
128,1,1,1,2,2,3,3,4,4,5,5,5,6,6,7,7,7,8,8,8,9,10,10,12,12,12,13,13,14,14,14,14,14,,,,,,
138,1,2,2,3,3,4,4,5,5,6,7,7,8,8,9,9,9,10,12,12,13,13,14,14,15,16,16,17,17,18,19,19,20,,,,,,
139,1,1,2,2,2,3,3,4,4,5,6,6,7,7,8,8,9,9,9,10,11,12,13,13,14,14,14,15,15,16,17,17,18,18,19,20,,,
141,1,1,1,2,2,3,4,4,4,5,5,6,6,7,7,8,8,9,9,9,10,10,12,12,13,13,14,14,14,15,15,16,16,17,17,18,,,
150,1,1,2,2,3,3,3,4,4,4,5,5,6,6,7,7,7,8,8,9,9,10,10,12,12,13,13,14,14,15,16,16,17,17,18,,,,
158,1,1,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,7,8,8,8,9,9,10,10,10,12,12,13,13,14,14,15,15,15,16,16,,
165,1,1,2,2,3,4,4,5,5,6,6,7,7,7,8,8,9,9,10,12,12,13,14,14,15,15,16,16,17,18,18,19,19,20,,,,,
171,1,1,2,2,3,4,4,4,5,5,6,6,7,7,8,9,9,10,10,12,12,13,13,14,15,15,16,16,17,18,18,19,19,,,,,,
183,1,1,2,3,3,3,4,4,5,6,6,6,7,7,8,8,8,9,10,10,11,12,12,13,13,14,14,15,15,15,16,,,,,,,,
193,1,1,2,2,3,3,4,5,5,6,6,7,7,8,8,9,9,10,10,12,12,13,14,14,14,16,16,17,17,18,19,19,20,20,21,21,,,
199,1,1,1,2,2,2,2,3,3,4,4,5,5,6,6,6,7,7,7,8,8,9,9,9,10,10,12,12,12,13,13,14,14,15,15,16,,,
216,1,1,1,2,2,3,3,4,5,5,6,6,6,7,8,8,9,9,10,10,13,13,14,14,15,16,16,17,17,18,19,19,20,20,20,21,,,
222,1,2,2,3,3,4,4,5,5,6,6,7,7,7,8,8,9,10,10,12,12,13,13,14,14,15,15,16,16,17,18,18,19,19,20,20,,,
224,1,1,2,2,3,4,4,5,5,6,6,7,8,8,9,9,10,10,12,12,13,14,14,15,15,16,16,17,18,18,19,20,20,21,21,,,,
236,1,1,2,2,3,3,4,4,4,5,5,6,6,6,7,7,8,8,9,9,10,10,11,12,12,13,13,13,13,14,14,14,15,15,16,16,17,17,
253,1,1,1,1,2,2,2,3,3,4,4,4,4,5,5,6,6,6,7,7,7,7,8,8,9,9,9,9,10,10,10,12,12,12,12,,,,
270,1,1,2,2,3,3,4,4,4,5,5,6,6,7,7,8,8,9,9,10,10,12,12,13,13,14,14,15,15,16,16,18,19,19,,,,,
277,1,1,2,3,3,3,4,4,5,6,7,7,8,8,9,9,9,9,9,10,10,10,11,12,12,12,12,13,13,13,13,14,15,15,16,,,,
309,1,1,1,2,2,2,3,3,4,4,5,5,5,6,6,6,6,7,9,9,10,10,12,13,13,14,14,15,,,,,,,,,,,
317,1,1,2,2,3,3,4,4,5,5,6,6,7,7,7,8,8,9,9,10,10,12,12,13,13,14,15,15,,,,,,,,,,,
321,1,1,2,2,3,4,4,4,5,6,6,7,7,7,8,8,9,10,10,12,12,13,13,14,14,15,15,16,16,17,18,18,19,19,20,20,,,
340,1,1,2,2,3,3,4,4,4,5,5,7,8,8,9,10,10,11,12,12,13,13,14,15,15,16,16,17,17,18,18,19,19,20,20,21,,,
345,1,2,2,3,3,3,4,5,5,6,6,7,7,7,8,8,9,9,10,10,12,12,13,13,15,15,16,16,16,17,17,18,19,19,19,,,,
369,1,2,2,2,3,4,4,5,5,6,6,6,7,7,7,8,9,9,9,10,12,12,13,14,14,15,15,16,16,17,18,18,19,20,20,,,,
399,1,1,2,3,3,3,4,5,5,6,6,7,8,8,9,10,10,11,13,13,14,15,15,16,16,17,17,18,19,19,19,20,21,23,24,25,,,
271,1,2,2,3,3,3,4,4,5,6,6,6,6,8,9,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,13,14,14,14,,,,
323,1,1,1,2,3,3,4,4,5,5,6,6,7,7,7,8,8,9,9,10,10,12,12,13,13,14,14,15,15,16,16,17,17,18,,,,,
358,1,2,3,3,3,4,4,5,5,6,6,7,7,8,9,9,10,10,12,12,13,13,13,14,15,15,16,16,17,17,18,18,19,19,20,21,21,23,23
411,1,1,2,3,3,3,4,5,5,6,6,7,7,8,8,9,10,10,11,12,12,13,13,14,14,15,15,16,16,,,,,,,,,,
