subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
149,8,13,14,17,14,16,19,16,19,19,18,19,19,19,21,21,22,21,23,25,26,27,24,22,26,26,26,28,27,27,28,29,28,24,20
109,1,3,5,6,8,7,3,7,8,7,4,6,8,9,8,8,9,9,10,10,9,9,8,8,7,,,,,,,,,,
133,8,12,13,15,18,19,18,14,17,19,18,17,21,20,20,21,23,26,26,27,26,27,27,29,30,30,29,30,30,30,30,29,27,,
166,5,8,8,8,9,8,9,10,12,12,14,14,15,17,16,16,15,16,17,16,16,15,17,16,17,15,17,15,18,18,19,19,19,18,
157,6,9,9,12,10,11,11,18,20,18,20,20,20,19,20,21,22,26,30,30,27,26,27,27,27,26,26,28,27,27,30,30,,,
225,2,5,7,8,8,7,8,9,8,7,8,9,7,8,8,9,8,8,9,9,8,8,9,9,9,9,9,9,9,9,8,9,9,9,
227,8,8,8,9,12,12,12,15,14,15,9,9,11,8,6,8,10,9,9,9,9,9,9,9,13,12,14,12,11,13,,,,,
121,2,5,6,8,9,11,10,12,12,13,14,15,12,13,13,13,12,15,14,16,17,15,14,14,,,,,,,,,,,
147,6,8,9,11,14,14,14,12,15,16,16,15,15,15,18,20,20,16,18,18,19,17,16,21,21,20,21,21,15,16,18,18,18,18,17
179,7,9,10,12,14,13,18,18,15,18,15,18,20,21,21,21,19,18,20,22,21,18,23,23,18,21,21,23,22,23,24,21,23,25,27
233,4,6,7,8,9,7,7,5,5,7,8,7,8,9,8,8,7,8,9,10,9,8,10,,,,,,,,,,,,
190,7,9,15,19,25,25,29,29,30,33,32,32,33,33,32,33,33,32,30,32,33,33,,,,,,,,,,,,,
123,7,9,12,13,15,14,15,18,20,21,20,17,16,15,17,18,15,18,18,20,20,15,20,23,24,24,23,23,20,,,,,,
209,8,10,16,19,19,20,19,20,18,18,20,19,17,20,21,20,21,24,24,24,24,24,23,25,27,26,26,30,31,33,33,33,,,
243,6,6,6,6,6,8,8,8,8,8,9,11,12,9,9,9,9,9,11,11,9,9,11,10,12,12,12,11,12,14,14,15,,,
258,1,2,5,6,9,9,7,6,9,8,8,9,9,9,9,10,9,11,13,13,12,12,8,10,11,8,9,9,,,,,,,
280,5,9,12,12,14,12,12,12,11,12,11,13,5,10,8,7,10,10,11,11,13,13,14,12,11,12,14,15,14,14,14,11,12,11,
192,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,6,6,6,7,6,6,6,,,
265,7,9,9,9,9,9,9,10,9,11,12,12,13,15,12,17,17,18,20,19,20,20,20,20,16,15,17,18,18,20,20,21,20,21,20
266,8,10,12,13,14,19,19,23,24,21,21,21,23,23,23,23,19,22,24,26,27,25,23,23,,,,,,,,,,,
272,3,5,8,9,9,9,9,9,9,9,9,14,13,9,11,8,9,9,9,9,11,9,9,8,8,7,6,12,11,9,8,6,9,7,5
349,8,8,7,8,9,9,9,9,8,6,6,9,9,8,7,9,8,9,7,8,9,7,6,9,8,11,10,10,9,7,10,13,11,10,
282,5,8,7,10,10,12,11,12,12,12,15,18,20,20,15,18,18,18,17,19,22,24,26,19,17,17,,,,,,,,,
312,8,9,9,13,16,16,19,20,17,17,19,21,22,23,22,23,24,25,27,27,29,31,32,33,33,35,37,36,33,32,38,,,,
343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,7,9,8,13,14,18,15,17,15,15,17,15,16,17,15,18,18,18,16,16,17,17,18,17,18,20,19,19,19,20,20,19,19,20,20
386,4,6,6,5,6,7,7,8,7,6,9,6,9,9,9,10,8,8,8,9,9,9,8,8,9,9,10,9,9,8,5,9,9,9,9
407,3,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,8,9,9,10,9,9,9,12,11,11,9,11,12,11,12,11,11,,
413,6,5,5,7,7,9,8,9,8,7,9,7,9,9,9,9,8,5,6,9,9,9,8,6,8,8,7,8,8,9,8,8,7,6,4
427,8,9,8,9,9,10,12,13,16,16,17,17,16,20,21,21,23,24,24,27,24,24,26,26,25,26,24,27,27,26,27,30,30,29,30
388,10,9,9,9,9,12,15,16,13,15,13,16,13,13,13,10,13,12,13,15,15,15,14,14,13,16,16,15,13,15,16,15,14,18,
389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,0,4,6,9,9,9,9,9,9,9,10,9,9,9,9,9,9,11,11,12,11,9,11,11,12,13,12,12,11,12,15,13,15,14,15
431,5,8,8,7,7,9,9,9,9,11,15,14,15,14,15,14,15,16,16,15,16,15,14,15,17,17,14,14,14,15,,,,,
